Configuration,ARI,NMI,ACC,n_clusters
trial_39_robust_C,0.5441532971221111,0.6530538388163977,0.7285609577327143,5
trial_39_robust_D,0.5286002462849637,0.6789245931654008,0.6806743220131932,5
trial_3_mclust_A,0.1343480993467987,0.2669623108116777,0.46958221353530416,5
trial_3_mclust_B,0.49218447047885,0.5544497559798653,0.666503786953335,4
trial_3_robust_C,0.464092462270408,0.6044416195350951,0.6105546054238945,5
trial_3_robust_D,0.5279690510035238,0.6764973677015154,0.6794527241632055,5
trial_40_mclust_A,0.40845589290268475,0.4738885307674025,0.6369411189836306,5
trial_40_mclust_B,0.5728377793327138,0.5921506948850686,0.698509650623015,5
trial_40_robust_C,0.4875787105419217,0.6262597675881156,0.6056682140239433,5
trial_40_robust_D,0.5513166959339832,0.691697557244601,0.6894698265331053,5
trial_41_mclust_A,0.11196550688557717,0.26063654096563793,0.4334229171756658,5
trial_41_mclust_B,0.14973577768607899,0.2557323944130382,0.5025653554849744,4
trial_41_robust_C,0.5324459724232162,0.6342173672720198,0.7102369899828976,5
trial_41_robust_D,0.5270196804213511,0.6756047195035653,0.6716344979232837,5
trial_42_mclust_A,0.3761125554098415,0.4330458419209315,0.6222819447837772,5
trial_42_mclust_B,0.49067110298708594,0.5437762850973158,0.6628389934033716,5
trial_42_robust_C,0.41052514109073507,0.5660735894920316,0.5988272660640117,5
trial_42_robust_D,0.5223699416510683,0.6639939579053622,0.679208404593208,5
trial_43_mclust_A,0.12301527121350467,0.26412036151175966,0.44295138040557047,5
trial_43_mclust_B,0.5645270374782219,0.578321617687523,0.6955778157830442,4
trial_43_robust_C,0.39196910902629906,0.5751008616000299,0.572196432934278,5
trial_43_robust_D,0.5388449029324969,0.679074623219625,0.6767652088932323,5
trial_44_mclust_A,0.12282144536542967,0.23047492695216712,0.46151966772538483,5
trial_44_mclust_B,0.4682682889776319,0.550884916678307,0.632299047153677,5
trial_44_robust_C,0.3964964420525661,0.5618218727014946,0.573906669924261,5
trial_44_robust_D,0.507247445521753,0.6664302621105556,0.6757879306132422,5
trial_45_mclust_A,0.49105449910346066,0.5570421611445668,0.6723674566332764,5
trial_45_mclust_B,0.6310075745989174,0.6306852506584926,0.7185438553628145,4
trial_45_robust_C,0.5678965202837202,0.6753024213929731,0.7187881749328121,5
trial_45_robust_D,0.568804225721854,0.6930097536841976,0.7085267529929148,5
trial_46_mclust_A,0.1453055608263544,0.2684411244205799,0.49083801612509165,5
trial_46_mclust_B,0.5205926074523087,0.5564954431104038,0.6682140239433179,5
trial_46_robust_C,0.5321972966960565,0.6094869366295455,0.7029074028829709,5
trial_46_robust_D,0.5092169529105626,0.6670531603884786,0.6765208893232348,5
trial_47_mclust_A,0.1410548136229927,0.23843185303091824,0.4879061812851209,5
trial_47_mclust_B,0.5237315419177201,0.5456774679867795,0.6789640850232104,5
trial_47_robust_C,0.5187807797314521,0.5987539281974394,0.7011971658929881,5
trial_47_robust_D,0.5297155892115243,0.6700680222391886,0.6850720742731493,5
trial_48_mclust_A,0.13082771130801876,0.23216739406131998,0.47202540923527975,4
trial_48_mclust_B,0.5798543375094019,0.5842862336207542,0.6953334962130466,5
trial_48_robust_C,0.4499940656165965,0.5770201676473987,0.61299780112387,5
trial_48_robust_D,0.49305679403483593,0.6406869247781033,0.6767652088932323,5
trial_49_mclust_A,0.13787250823661576,0.26435418429239294,0.48668458343513316,5
trial_49_mclust_B,0.4467973541871119,0.5331341830306398,0.6479354996335206,5
trial_49_robust_C,0.3825871878169253,0.5454292273776926,0.5550940630344491,5
trial_49_robust_D,0.5047656804675755,0.6647091729199887,0.6713901783532861,5
trial_4_mclust_A,0.3055125404273253,0.4007491230938876,0.5905204006840948,5
trial_4_mclust_B,0.5635788791474767,0.5881188752713548,0.6948448570730515,4
trial_4_robust_C,0.4570961037332606,0.6026285656279086,0.6027363791839726,5
trial_4_robust_D,0.5541373924965238,0.6934514787999798,0.6955778157830442,5
trial_50_mclust_A,0.14659398122057316,0.24437817119612948,0.4932812118250672,5
trial_50_mclust_B,0.4091490080984933,0.4984224040132953,0.6230149034937699,5
trial_50_robust_C,0.5066018684512941,0.5727213455859124,0.6603957977033961,5
trial_50_robust_D,0.5115644433446426,0.6629847109571557,0.6760322501832396,5
trial_5_mclust_A,0.37658593226474757,0.42966851688002466,0.6222819447837772,5
trial_5_mclust_B,0.5414301283821435,0.5642858003959027,0.6862936721231371,5
trial_5_robust_C,0.5440871295442355,0.6332726753768744,0.7258734424627412,5
trial_5_robust_D,0.5398265714104281,0.6802042373729091,0.6899584656731004,5
trial_6_mclust_A,0.12358751106374063,0.2778532208942067,0.46151966772538483,4
trial_6_mclust_B,0.4306524729347901,0.5310128566847192,0.6347422428536525,5
trial_6_robust_C,0.5454026312654339,0.6325477979921518,0.7305155142926948,5
trial_6_robust_D,0.538226490720289,0.6849132863674675,0.6943562179330565,5
trial_7_mclust_A,0.11816005473953302,0.254069367665939,0.4424627412655754,5
trial_7_mclust_B,0.4131234890169758,0.49125293418540655,0.6151966772538481,5
trial_7_robust_C,0.41156127824242283,0.563200025937132,0.5929635963840704,5
trial_7_robust_D,0.5291026034109276,0.6756026372965047,0.6911800635230883,5
trial_8_mclust_A,0.3212525649867603,0.38954334024120735,0.5985829464940142,5
trial_8_mclust_B,0.46433298111765825,0.5371709640048562,0.653799169313462,5
trial_8_robust_C,0.5465205665182788,0.6322868304342846,0.7214756902027852,5
trial_8_robust_D,0.5406786321904696,0.6822628055026987,0.6823845590031762,5
trial_9_mclust_A,0.16849611686289398,0.3451605999219876,0.5116051795748839,5
trial_9_mclust_B,0.6029433927878937,0.6121692576540128,0.7090153921329099,4
trial_9_robust_C,0.40761978127375054,0.5867775034704056,0.544099682384559,5
trial_9_robust_D,0.5654217685259247,0.6966807830417554,0.6926459809430735,5
