Trial,Alpha,K_Graph,LambdaRecon,NegHard,NegAdj,Method,Config,ARI,NMI,ACC
31,0.4,8,0.0,0.85,0.3,mclust,mclust_B,0.5760106041022194,0.6060510008768928,0.6977766919130223
31,0.4,8,0.0,0.85,0.3,robust,robust_C,0.5552206677201049,0.6777750141690946,0.6938675787930614
31,0.4,8,0.0,0.85,0.3,robust,robust_D,0.5536716394028307,0.6852120737240257,0.69899828976301
32,0.3,4,0.0,0.7,0.5,mclust,mclust_A,0.3781190973519161,0.39712502466918215,0.6332763254336672
32,0.3,4,0.0,0.7,0.5,mclust,mclust_B,0.4638378420443898,0.5437297185814286,0.6584412411434156
32,0.3,4,0.0,0.7,0.5,robust,robust_C,0.4796916330752145,0.5613485164297644,0.683606156853164
32,0.3,4,0.0,0.7,0.5,robust,robust_D,0.527745489511008,0.6818565151459147,0.684094795993159
33,0.4,6,0.05,0.85,0.5,mclust,mclust_A,0.13382256223478478,0.25543465822396055,0.4764231614952358
33,0.4,6,0.05,0.85,0.5,mclust,mclust_B,0.4137861760700274,0.5274978209254368,0.6276569753237234
33,0.4,6,0.05,0.85,0.5,robust,robust_C,0.5259146567280688,0.6202973883098671,0.7156120205228439
33,0.4,6,0.05,0.85,0.5,robust,robust_D,0.5120064344154815,0.66225148133372,0.6767652088932323
34,0.4,6,0.05,0.7,0.3,mclust,mclust_A,0.41452460587813234,0.4387745739983254,0.6462252626435377
34,0.4,6,0.05,0.7,0.3,mclust,mclust_B,0.5040204480228642,0.5676189244157396,0.658196921573418
34,0.4,6,0.05,0.7,0.3,robust,robust_C,0.5159011771322807,0.6037817263762659,0.6782311263132177
34,0.4,6,0.05,0.7,0.3,robust,robust_D,0.5159374129744421,0.66790575821017,0.6853163938431468
35,0.3,8,0.01,0.85,0.3,mclust,mclust_A,0.12203082621097544,0.27322735826206246,0.46396286342536036
35,0.3,8,0.01,0.85,0.3,mclust,mclust_B,0.5494803874329636,0.5874779140158948,0.6826288785731737
35,0.3,8,0.01,0.85,0.3,robust,robust_C,0.4439175008934802,0.5857531839814119,0.5946738333740532
35,0.3,8,0.01,0.85,0.3,robust,robust_D,0.5286084649204993,0.6779897102800868,0.6838504764231615
36,0.2,4,0.0,0.7,0.5,mclust,mclust_A,0.31760097668119663,0.4145317580088901,0.6007818226239922
36,0.2,4,0.0,0.7,0.5,mclust,mclust_B,0.5036356173152772,0.5326217383754891,0.6728560957732714
36,0.2,4,0.0,0.7,0.5,robust,robust_C,0.5797916955657804,0.6615241265284207,0.7422428536525776
36,0.2,4,0.0,0.7,0.5,robust,robust_D,0.5338453804831614,0.6755953684655269,0.6804300024431957
37,0.35,8,0.05,0.7,0.5,mclust,mclust_A,0.16950534129653766,0.2657235915372534,0.5221109210847789
37,0.35,8,0.05,0.7,0.5,mclust,mclust_B,0.5372157635196527,0.5763753831205118,0.6794527241632055
37,0.35,8,0.05,0.7,0.5,robust,robust_C,0.5333903109917856,0.6263805307189836,0.7043733203029563
37,0.35,8,0.05,0.7,0.5,robust,robust_D,0.5312199338147457,0.6774686410114246,0.6821402394331786
38,0.4,4,0.0,0.8,0.5,mclust,mclust_A,0.12690645833007275,0.23161057681832192,0.46860493525531394
38,0.4,4,0.0,0.8,0.5,mclust,mclust_B,0.5373932300111933,0.5615050548776007,0.6831175177131689
38,0.4,4,0.0,0.8,0.5,robust,robust_C,0.5549524579104104,0.6501976396316179,0.7400439775225995
38,0.4,4,0.0,0.8,0.5,robust,robust_D,0.49765045582428424,0.6544778144308322,0.6855607134131444
39,0.35,6,0.0,0.85,0.5,mclust,mclust_A,0.2492334656853562,0.39130448025805525,0.5480087955045199
39,0.35,6,0.0,0.85,0.5,mclust,mclust_B,0.5669155356055982,0.5819324020212505,0.6916687026630833
39,0.35,6,0.0,0.85,0.5,robust,robust_C,0.5463783984074682,0.6476303377628662,0.7153677009528463
39,0.35,6,0.0,0.85,0.5,robust,robust_D,0.5336040587355475,0.6820328261306811,0.6777424871732226
40,0.2,4,0.0,0.7,0.5,mclust,mclust_A,0.39604991852109156,0.4280264198755623,0.6305888101636941
40,0.2,4,0.0,0.7,0.5,mclust,mclust_B,0.5446644418714924,0.547627871909811,0.6938675787930614
40,0.2,4,0.0,0.7,0.5,robust,robust_C,0.46990367585874426,0.5712761249468516,0.6291228927437088
40,0.2,4,0.0,0.7,0.5,robust,robust_D,0.52430164852119,0.6731790097016364,0.6831175177131689
41,0.3,8,0.0,0.7,0.3,mclust,mclust_A,0.5148281112140217,0.5714218868656343,0.6809186415831908
41,0.3,8,0.0,0.7,0.3,mclust,mclust_B,0.5908577626633273,0.6048064460908797,0.7048619594429514
41,0.3,8,0.0,0.7,0.3,robust,robust_C,0.5586385554799398,0.6683420417810532,0.7092597117029074
41,0.3,8,0.0,0.7,0.3,robust,robust_D,0.5570553330090748,0.6990799874870696,0.6948448570730515
42,0.4,6,0.01,0.7,0.4,mclust,mclust_A,0.33369195119997164,0.3652585107606768,0.604690935743953
