ARI	NMI	tag	dim	alpha	lr	k	topN	lambda_recon	mask_ratio	epochs	pca_dim	refine_k	npz	metrics
0.5147245397346993	0.6549160241602571	d96_a050_lr001_k12_top36_l016_m010_e500	96	0.50	0.0010	12	36	0.16	0.10	500	20	3	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d96_a050_lr001_k12_top36_l016_m010_e500.augK2_d96_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d96_a050_lr001_k12_top36_l016_m010_e500_mclust_p20_rk3.mclust.metrics.txt
0.5404482907193942	0.7048050005271331	d96_a050_lr001_k12_top36_l016_m010_e500	96	0.50	0.0010	12	36	0.16	0.10	500	24	0	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d96_a050_lr001_k12_top36_l016_m010_e500.augK2_d96_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d96_a050_lr001_k12_top36_l016_m010_e500_mclust_p24_rk0.mclust.metrics.txt
0.4832268451267757	0.6365809289836933	d96_a050_lr001_k12_top36_l016_m010_e500	96	0.50	0.0010	12	36	0.16	0.10	500	24	3	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d96_a050_lr001_k12_top36_l016_m010_e500.augK2_d96_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d96_a050_lr001_k12_top36_l016_m010_e500_mclust_p24_rk3.mclust.metrics.txt
0.5862349062095457	0.7141822349355189	d96_a050_lr001_k12_top36_l016_m010_e500	96	0.50	0.0010	12	36	0.16	0.10	500	28	0	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d96_a050_lr001_k12_top36_l016_m010_e500.augK2_d96_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d96_a050_lr001_k12_top36_l016_m010_e500_mclust_p28_rk0.mclust.metrics.txt
0.5192453161537702	0.6494062764063965	d96_a050_lr001_k12_top36_l016_m010_e500	96	0.50	0.0010	12	36	0.16	0.10	500	28	3	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d96_a050_lr001_k12_top36_l016_m010_e500.augK2_d96_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d96_a050_lr001_k12_top36_l016_m010_e500_mclust_p28_rk3.mclust.metrics.txt
0.45588165149274285	0.6332200032115435	d80_a045_lr0008_k10_top28_l014_m012_e500	80	0.45	0.0008	10	28	0.14	0.12	500	8	0	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a045_lr0008_k10_top28_l014_m012_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a045_lr0008_k10_top28_l014_m012_e500_mclust_p8_rk0.mclust.metrics.txt
0.4213497267046401	0.6002606574810566	d80_a045_lr0008_k10_top28_l014_m012_e500	80	0.45	0.0008	10	28	0.14	0.12	500	8	3	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a045_lr0008_k10_top28_l014_m012_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a045_lr0008_k10_top28_l014_m012_e500_mclust_p8_rk3.mclust.metrics.txt
0.5967536709576263	0.7090153252211338	d80_a045_lr0008_k10_top28_l014_m012_e500	80	0.45	0.0008	10	28	0.14	0.12	500	10	0	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a045_lr0008_k10_top28_l014_m012_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a045_lr0008_k10_top28_l014_m012_e500_mclust_p10_rk0.mclust.metrics.txt
0.5474825653192733	0.6651570979721678	d80_a045_lr0008_k10_top28_l014_m012_e500	80	0.45	0.0008	10	28	0.14	0.12	500	10	3	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a045_lr0008_k10_top28_l014_m012_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a045_lr0008_k10_top28_l014_m012_e500_mclust_p10_rk3.mclust.metrics.txt
0.5910600472816393	0.710863783207488	d80_a045_lr0008_k10_top28_l014_m012_e500	80	0.45	0.0008	10	28	0.14	0.12	500	12	0	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a045_lr0008_k10_top28_l014_m012_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a045_lr0008_k10_top28_l014_m012_e500_mclust_p12_rk0.mclust.metrics.txt
