npz	pca_dim	seed	score	upper_cluster	upper_purity	upper_recall	lower_cluster	lower_purity	lower_recall	both_cluster	both_purity	both_recall
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	64	10	0.33910804778686626	0	0.1291866028708134	0.6136363636363636	0	0.27751196172248804	0.7435897435897436	0	0.40669856459330145	0.6967213114754098
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	40	5	0.3385990124943955	1	0.10931174089068826	0.6136363636363636	1	0.23481781376518218	0.7435897435897436	1	0.3441295546558704	0.6967213114754098
S2_Hpca_v2.augK2_d96_for_cluster.npz	64	6	0.3385060153951915	3	0.1188118811881188	0.8181818181818182	3	0.19471947194719472	0.7564102564102564	3	0.31353135313531355	0.7786885245901639
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	36	15	0.335929015609401	20	0.11379310344827587	0.75	20	0.19310344827586207	0.717948717948718	20	0.30689655172413793	0.7295081967213115
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	30	16	0.33543451344441466	24	0.10510510510510511	0.7954545454545454	24	0.18618618618618618	0.7948717948717948	24	0.2912912912912913	0.7950819672131147
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	64	1	0.33484898264965063	25	0.12857142857142856	0.6136363636363636	25	0.2714285714285714	0.7307692307692307	25	0.4	0.6885245901639344
S2_Hpca_v2.augK2_d96_for_cluster.npz	18	17	0.33424855986115626	18	0.17567567567567569	0.5909090909090909	18	0.2702702702702703	0.5128205128205128	18	0.44594594594594594	0.5409836065573771
S2_Hpca_v2.augK2_d96_for_cluster.npz	18	10	0.33424855986115626	12	0.17567567567567569	0.5909090909090909	12	0.2702702702702703	0.5128205128205128	12	0.44594594594594594	0.5409836065573771
S2_Hpca_v2.augK2_d96_for_cluster.npz	18	13	0.33391971097360323	24	0.16875	0.6136363636363636	24	0.25625	0.5256410256410257	24	0.425	0.5573770491803278
S2_Hpca_v2.augK2_d96_for_cluster.npz	18	18	0.3335711980060657	7	0.17307692307692307	0.6136363636363636	7	0.2564102564102564	0.5128205128205128	7	0.42948717948717946	0.5491803278688525
S2_Hpca_v2.augK2_d96_for_cluster.npz	24	8	0.333150722906223	18	0.09289617486338798	0.7727272727272727	12	0.1834862385321101	0.5128205128205128	18	0.1721311475409836	0.5163934426229508
S2_Hpca_v2.augK2_d96_for_cluster.npz	24	7	0.3323470546569372	13	0.09164420485175202	0.7727272727272727	18	0.18433179723502305	0.5128205128205128	13	0.16981132075471697	0.5163934426229508
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	36	9	0.3315050423683685	25	0.11	0.75	25	0.19666666666666666	0.7564102564102564	25	0.30666666666666664	0.7540983606557377
S2_Hpca_v2.augK2_d96_for_cluster.npz	24	3	0.33149684682720865	13	0.09066666666666667	0.7727272727272727	21	0.1834862385321101	0.5128205128205128	13	0.168	0.5163934426229508
S2_Hpca_v2.augK2_d96_for_cluster.npz	50	15	0.3290679660891204	4	0.09090909090909091	0.7954545454545454	4	0.16363636363636364	0.8076923076923077	4	0.2545454545454545	0.8032786885245902
S2_Hpca_v2.augK2_d96_for_cluster.npz	24	2	0.3280324126013337	20	0.10091743119266056	0.75	0	0.1712962962962963	0.47435897435897434	20	0.19877675840978593	0.5327868852459017
S2_Hpca_v2.augK2_d96_for_cluster.npz	30	15	0.3277543054788455	22	0.09968847352024922	0.7272727272727273	3	0.1423841059602649	0.5512820512820513	22	0.17757009345794392	0.4672131147540984
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	40	2	0.3270010136476495	11	0.10160427807486631	0.8636363636363636	11	0.1657754010695187	0.7948717948717948	11	0.26737967914438504	0.819672131147541
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	40	8	0.3262798432146113	11	0.09919571045576407	0.8409090909090909	11	0.16621983914209115	0.7948717948717948	11	0.26541554959785524	0.8114754098360656
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	40	14	0.3256770157247239	16	0.09866666666666667	0.8409090909090909	16	0.168	0.8076923076923077	16	0.26666666666666666	0.819672131147541
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	30	17	0.3253884469065413	19	0.09549071618037135	0.8181818181818182	19	0.16710875331564987	0.8076923076923077	19	0.2625994694960212	0.8114754098360656
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	40	11	0.3253335145768186	21	0.09840425531914894	0.8409090909090909	21	0.1675531914893617	0.8076923076923077	21	0.26595744680851063	0.819672131147541
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	40	1	0.32530018298170144	9	0.10109289617486339	0.8409090909090909	9	0.16666666666666666	0.782051282051282	9	0.2677595628415301	0.8032786885245902
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	40	17	0.32499162587370684	16	0.09814323607427056	0.8409090909090909	16	0.16710875331564987	0.8076923076923077	16	0.26525198938992045	0.819672131147541
S2_Hpca_v2.augK2_d96_for_cluster.npz	18	2	0.32491589332615683	2	0.1643835616438356	0.5454545454545454	2	0.273972602739726	0.5128205128205128	2	0.4383561643835616	0.5245901639344263
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	30	10	0.32490367688111055	2	0.09498680738786279	0.8181818181818182	2	0.1662269129287599	0.8076923076923077	2	0.2612137203166227	0.8114754098360656
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	40	19	0.3245986635160257	25	0.10054347826086957	0.8409090909090909	25	0.16576086956521738	0.782051282051282	25	0.266304347826087	0.8032786885245902
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	40	9	0.32415926890019925	1	0.10422535211267606	0.8409090909090909	1	0.16901408450704225	0.7692307692307693	1	0.27323943661971833	0.7950819672131147
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	30	11	0.3240706804289554	13	0.09695290858725762	0.7954545454545454	13	0.17174515235457063	0.7948717948717948	13	0.26869806094182824	0.7950819672131147
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	30	19	0.3239809488982767	6	0.09915014164305949	0.7954545454545454	6	0.17280453257790368	0.782051282051282	6	0.2719546742209632	0.7868852459016393
